iter	RMSE
0	50799.23729
1	48996.77761
2	47301.35489
3	45715.53595
4	44034.43579
5	42545.78704
6	41106.8682
7	39880.77106
8	38647.60535
9	37543.06474
10	36461.31992
11	35392.55599
12	34612.82776
13	33797.91597
14	32903.95298
15	32099.41681
16	31274.16539
17	30588.28596
18	29911.08168
19	29255.10972
20	28668.05133
21	28101.19704
22	27540.2309
23	27006.73
24	26510.0959
25	26112.79446
26	25705.88184
27	25317.94939
28	24902.62939
29	24495.47866
30	24224.76602
31	23855.96226
32	23521.24514
33	23213.90147
34	22947.45849
35	22705.61184
36	22491.92731
37	22276.9883
38	22075.41705
39	21873.5171
40	21704.32198
41	21537.04215
42	21392.93986
43	21169.55275
44	21008.45739
45	20869.17916
46	20705.99644
47	20584.25808
48	20482.6442
49	20361.25575
50	20236.75305
51	20100.21874
52	19957.30584
53	19785.48896
54	19651.08912
55	19502.57195
56	19367.24925
57	19267.34933
58	19156.35077
59	19037.75493
60	18923.04427
61	18808.36979
62	18742.11069
63	18630.70452
64	18500.2067
65	18401.63293
66	18299.96351
67	18205.5733
68	18138.74196
69	18057.93114
70	17974.87518
71	17935.97565
72	17871.60798
73	17811.03054
74	17749.51697
75	17708.75466
76	17643.39058
77	17585.40694
78	17523.55
79	17492.45526
80	17442.32953
81	17352.4792
82	17289.01909
83	17211.96137
84	17155.64949
85	17100.71115
86	17023.9986
87	16995.75256
88	16926.80836
89	16881.68314
90	16827.74346
91	16766.78185
92	16702.30663
93	16671.28089
94	16615.38991
95	16548.06658
96	16499.65194
97	16442.4785
98	16394.66897
99	16337.87179
100	16291.19444
101	16252.20373
102	16214.13713
103	16174.50425
104	16130.56995
105	16107.55351
106	16070.29775
107	16025.43895
108	15976.16
109	15903.48491
110	15860.37159
111	15837.24612
112	15770.09241
113	15736.7104
114	15712.78339
115	15681.43814
116	15647.04669
117	15577.62867
118	15534.05594
119	15516.16138
120	15484.38346
121	15456.27455
122	15444.58193
123	15424.51283
124	15410.3618
125	15366.59216
126	15318.87368
127	15290.42601
128	15262.87847
129	15221.63298
130	15188.20341
131	15128.95546
132	15110.12188
133	15083.19817
134	15076.22777
135	15033.67025
136	15004.21341
137	14963.4762
138	14948.862
139	14909.71948
140	14859.79999
141	14844.99859
142	14778.34002
143	14751.32782
144	14723.78496
145	14694.4428
146	14659.54799
147	14640.1234
148	14589.74835
149	14542.67683
150	14506.27986
151	14476.79978
152	14447.12903
153	14423.72792
154	14396.23081
155	14374.72771
156	14355.89364
157	14322.6362
158	14293.4568
159	14271.4818
160	14256.29074
161	14238.25373
162	14220.9481
163	14184.26876
164	14171.62554
165	14147.45239
166	14103.58265
167	14086.91541
168	14038.58108
169	14015.64955
170	13983.99456
171	13936.1816
172	13905.87167
173	13895.68506
174	13876.41957
175	13854.35099
176	13847.08976
177	13826.14602
178	13803.22167
179	13773.10672
180	13719.08523
181	13666.0153
182	13638.42145
183	13613.92958
184	13598.11709
185	13570.20866
186	13555.7997
187	13535.94862
188	13513.76541
189	13503.77782
190	13483.22191
191	13464.85022
192	13440.91565
193	13422.23457
194	13407.20214
195	13392.39764
196	13375.65602
197	13328.18377
198	13310.98502
199	13286.53755
200	13255.01154
201	13216.05758
