iter	Passed	Remaining
0	1	1628
1	3	1699
2	4	1642
3	6	1629
4	8	1606
5	9	1604
6	11	1594
7	12	1587
8	14	1582
9	16	1589
10	17	1588
11	19	1586
12	20	1542
13	21	1536
14	23	1537
15	24	1537
16	26	1540
17	28	1544
18	29	1545
19	31	1554
20	33	1552
21	34	1550
22	36	1545
23	37	1544
24	39	1542
25	41	1545
26	42	1544
27	44	1541
28	46	1541
29	47	1540
30	49	1537
31	50	1534
32	52	1532
33	53	1534
34	55	1532
35	57	1530
36	58	1527
37	60	1525
38	61	1524
39	63	1521
40	64	1519
41	66	1520
42	68	1518
43	69	1518
44	71	1516
45	73	1514
46	74	1513
47	76	1510
48	77	1510
49	79	1509
50	80	1507
51	82	1505
52	84	1503
53	85	1501
54	87	1499
55	88	1497
56	90	1496
57	92	1494
58	93	1492
59	95	1489
60	96	1488
61	98	1486
62	99	1485
63	101	1483
64	103	1482
65	104	1481
66	106	1481
67	107	1478
68	109	1476
69	110	1474
70	112	1471
71	114	1470
72	115	1469
73	117	1467
74	118	1465
75	120	1462
76	121	1461
77	123	1459
78	125	1457
79	126	1455
80	128	1453
81	129	1453
82	131	1452
83	133	1450
84	134	1448
85	136	1446
86	137	1444
87	139	1442
88	140	1441
89	142	1439
90	144	1439
91	145	1438
92	147	1436
93	148	1434
94	150	1432
95	151	1430
96	153	1428
97	155	1427
98	156	1426
99	158	1424
100	159	1422
101	161	1420
102	162	1418
103	164	1416
104	165	1414
105	167	1414
106	169	1412
107	170	1411
108	172	1409
109	173	1407
110	175	1406
111	177	1403
112	178	1403
113	180	1402
114	181	1400
115	183	1398
116	185	1396
117	186	1394
118	188	1392
119	189	1390
120	191	1391
121	193	1390
122	194	1388
123	196	1386
124	197	1384
125	199	1382
126	200	1380
127	202	1378
128	204	1378
129	205	1377
130	207	1377
131	209	1376
132	210	1373
133	212	1371
134	213	1369
135	215	1367
136	216	1366
137	218	1366
138	220	1364
139	221	1363
140	223	1361
141	224	1358
142	226	1357
143	228	1355
144	229	1354
145	231	1353
146	232	1351
147	234	1349
148	235	1347
149	237	1346
150	239	1344
151	240	1342
152	242	1341
153	243	1340
154	245	1339
155	247	1337
156	248	1335
157	250	1333
158	251	1331
159	253	1331
160	255	1330
161	256	1328
162	258	1326
163	259	1324
164	261	1322
165	262	1320
166	264	1318
167	265	1317
168	267	1316
169	269	1314
170	270	1312
171	272	1311
172	273	1309
173	275	1307
174	276	1305
175	278	1303
176	280	1302
177	281	1300
178	283	1299
179	284	1297
180	286	1295
181	287	1294
182	289	1292
183	290	1290
184	292	1289
185	294	1287
186	295	1286
187	297	1283
188	298	1282
189	300	1280
190	301	1278
191	303	1276
192	304	1275
193	306	1273
194	308	1271
195	309	1269
196	311	1267
197	312	1266
198	314	1264
199	315	1262
200	317	1261
201	319	1260
202	320	1258
203	322	1257
204	323	1255
205	325	1253
206	326	1252
207	328	1250
208	330	1249
209	331	1248
210	333	1246
211	334	1244
212	336	1243
213	338	1241
214	339	1240
215	341	1239
216	343	1238
217	344	1236
218	346	1235
219	347	1233
220	349	1231
221	351	1230
222	352	1228
223	354	1226
224	355	1225
225	357	1223
226	358	1222
227	360	1220
228	361	1218
229	363	1217
230	365	1215
231	366	1213
232	368	1212
233	369	1210
234	371	1209
